Sunset & Sunrise 
 Altitude=25.00Km Latitude=40.00 Longitude=-86.00

Day	Sunrise		Sunset
11-27	07:09:10.773	17:54:47.988
11-28	07:10:10.486	17:54:26.302
11-29	07:11:09.438	17:54:06.576
11-30	07:12:07.584	17:53:48.821
12-01	07:13:04.877	17:53:33.046
12-02	07:14:01.272	17:53:19.259
12-03	07:14:56.722	17:53:07.467
12-04	07:15:51.182	17:52:57.675
12-05	07:16:44.607	17:52:49.890
12-06	07:17:36.950	17:52:44.112
12-07	07:18:28.166	17:52:40.346
12-08	07:19:18.211	17:52:38.591
12-09	07:20:07.041	17:52:38.846
12-10	07:20:54.613	17:52:41.109
12-11	07:21:40.882	17:52:45.376
12-12	07:22:25.809	17:52:51.642
12-13	07:23:09.351	17:52:59.899
12-14	07:23:51.468	17:53:10.140
12-15	07:24:32.122	17:53:22.354
12-16	07:25:11.275	17:53:36.529
12-17	07:25:48.889	17:53:52.652
12-18	07:26:24.929	17:54:10.707
12-19	07:26:59.362	17:54:30.677
12-20	07:27:32.154	17:54:52.545
12-21	07:28:03.275	17:55:16.289
12-22	07:28:32.693	17:55:41.889
12-23	07:29:00.382	17:56:09.320
12-24	07:29:26.314	17:56:38.556
12-25	07:29:50.464	17:57:09.573
12-26	07:30:12.809	17:57:42.340
12-27	07:30:33.327	17:58:16.828
12-28	07:30:51.997	17:58:53.006
12-29	07:31:08.800	17:59:30.841
12-30	07:31:23.721	18:00:10.299
12-31	07:31:36.744	18:00:51.343
